ID,Group name,Subtype,Isolate ID,Name,Country,Year,Bird,PB2,PB1,PA,HA,NP,NA,M,NS
14,2014-2015,H5N8,,A/baikal teal/Korea/1437/2014(H5N8),Korea,2014,baikal teal,KJ756562.1,KJ756581.1,KJ756600.1,KJ756619.1 ,KJ756638.1 ,KJ756657.1,KJ756676.1,KJ756695.1
15,2014-2015,H5N8,,A/baikal teal/Korea/1449/2014(H5N8),Korea,2014,baikal teal,KJ756568.1,KJ756587.1 ,KJ756606.1,KJ756625.1,KJ756644.1,KJ756663.1,KJ756682.1,KJ756701.1 
16,2014-2015,H5N8,,A/American wigeon/Washington/195968/2014(H5N8),USA,2014,American wigeon,KU201821.1,KU201822.1 ,KU201823.1,KU201824.1,KU201825.1,KU201826.1,KU201827.1 ,KU201828.1 
17,2014-2015,H5N8,,A/American wigeon/Washington/195205/2014(H5N8),USA,2014,American wigeon,KU201885.1,KU201886.1,KU201887.1,KU201888.1,KU201889.1,KU201890.1,KU201891.1,KU201892.1
18,2014-2015,H5N8,,A/American wigeon/Oregon/AH0012525/2015(H5N8),USA,2015,American wigeon,KU201749.1,KU201750.1,KU201751.1,KU201752.1 ,KU201753.1,KU201754.1,KU201755.1,KU201756.1
19,2014-2015,H5N8,EPI_ISL_177584,A/domestic_duck/Hungary/7341/2015,Hungary,2015,domestic_duck,EPI584820,EPI584821,EPI584822,EPI584823,EPI584824,EPI584825,EPI584826,EPI584827
20,Base,H5N8,EPI_ISL_237958,A/tufted_duck/Germany-SH/R8444/2016,Germany,2016,tufted_duck,EPI860494,EPI860495,,EPI860509,,,,
21,Base,H5N8,EPI_ISL_257699,A/Tufted_Duck/Switzerland/V237/2016,Switzerland,2016,tufted_duck,EPI969251,EPI969252,EPI969253,EPI969254,EPI969255,EPI969256,EPI969257,EPI969258
22,Base,H5N8,EPI_ISL_247713,A/tufted_duck/Denmark/17740-1/2016,Denmark,2016,tufted_duck,EPI909361,EPI909362,EPI909363,EPI909364,EPI909365,EPI909366,EPI909367,EPI909368
23,Base,H5N8,EPI_ISL_238897,A/Common_Goldeneye/Sweden/SVA161117KU0322/SZ0002165/2016,Sweden,2016,Common_Goldeneye,EPI863862,EPI863863,EPI863864,EPI863865,EPI863866,EPI863867,EPI863868,EPI863869
24,Base,H5N8,EPI_ISL_237554,A/painted stork/India/10CA03/2016,India,2016,painted stork,EPI858841,EPI858842,EPI858843,EPI858844,EPI858845,EPI858846,EPI858847,EPI858848
25,Base,H5N8,EPI_ISL_256298,A/gadwall/Kurgan/2442/2016,Russia,2016,gadwall,EPI961446,EPI961447,EPI961448,EPI961449,EPI961450,EPI961451,EPI961452,EPI961453
26,Base,H5N8,EPI_ISL_247725,A/chicken/Kalmykia/2643/2016,Russia,2016,chicken,EPI909457,EPI909458,EPI909459,EPI909460,EPI909461,EPI909462,EPI909463,EPI909464
27,Base,H5N8,EPI_ISL_240109,A/chicken/Kalmykia/2661/2016,Russia,2016,chicken,,,,EPI869936,,EPI869937,,
28,Base,H5N8,EPI_ISL_247724,A/wild duck/Tatarstan/3059/2016,Russia,2016,wild duck,EPI909449,EPI909450,EPI909451,EPI909452,EPI909453,EPI909454,EPI909455,EPI909456
29,Base,H5N8,EPI_ISL_256299,A/chicken/Sergiyev Posad/38/2017,Russia,2017,chicken,EPI961455,EPI961456,EPI961458,EPI961459,EPI961460,EPI961461,EPI961462,EPI961463
30,Base,H5N8,EPI_ISL_256300,A/chicken/Sergiyev Posad/39/2017,Russia,2017,chicken,EPI961464,EPI961465,EPI961466,EPI961467,EPI961468,EPI961469,EPI961470,EPI961471
31,Base,H5N8,EPI_ISL_247723,A/mute swan/Krasnodar/25/2017,Russia,2017,mute swan,EPI909441,EPI909442,EPI909443,EPI909444,EPI909445,EPI909446,EPI909447,EPI909448
32,Base,H5N8,EPI_ISL_247722,A/goose/Krasnodar/3144/2017,Russia,2017,goose,EPI909433,EPI909434,EPI909435,EPI909436,EPI909437,EPI909438,EPI909439,EPI909440
33,Base,H5N8,EPI_ISL_247721,A/turkey/Rostov/11/2017,Russia,2017,turkey,EPI909425,EPI909426,EPI909427,EPI909428,EPI909429,EPI909430,EPI909431,EPI909432
34,Base,H5N8,EPI_ISL_247716,A/Ural owl/Voronezh/14/2017,Russia,2017,Ural owl,EPI909385,EPI909386,EPI909387,EPI909388,EPI909389,EPI909390,EPI909391,EPI909392
